1741913529.5511,2025-03-13 17:52:09.551,neutral,frown,0.043432,neutral,0.0
1741913529.5828,2025-03-13 17:52:09.582,neutral,frown,0.043432,neutral,0.0
1741913529.6145,2025-03-13 17:52:09.614,neutral,frown,0.043432,neutral,0.0
1741913529.6463,2025-03-13 17:52:09.646,neutral,frown,0.043432,neutral,0.0
1741913529.6778,2025-03-13 17:52:09.677,neutral,frown,0.044173,neutral,0.0
1741913529.7095,2025-03-13 17:52:09.709,neutral,frown,0.044173,neutral,0.0
1741913529.7412,2025-03-13 17:52:09.741,neutral,frown,0.044173,neutral,0.0
1741913529.7725,2025-03-13 17:52:09.772,neutral,frown,0.044173,neutral,0.0
1741913529.8037,2025-03-13 17:52:09.803,neutral,frown,0.051128,neutral,0.0
1741913529.835,2025-03-13 17:52:09.835,neutral,frown,0.051128,neutral,0.0
1741913529.8663,2025-03-13 17:52:09.866,neutral,frown,0.051128,neutral,0.0
1741913529.898,2025-03-13 17:52:09.898,neutral,frown,0.051128,neutral,0.0
1741913529.9295,2025-03-13 17:52:09.929,neutral,frown,0.055301,neutral,0.0
1741913529.9613,2025-03-13 17:52:09.961,neutral,frown,0.055301,neutral,0.0
1741913529.9928,2025-03-13 17:52:09.992,neutral,frown,0.055301,neutral,0.0
1741913530.0243,2025-03-13 17:52:10.024,neutral,frown,0.055301,neutral,0.0
1741913530.0558,2025-03-13 17:52:10.055,neutral,frown,0.050817,neutral,0.0
1741913530.0873,2025-03-13 17:52:10.087,neutral,frown,0.050817,neutral,0.0
1741913530.1189,2025-03-13 17:52:10.118,neutral,frown,0.050817,neutral,0.0
1741913530.1504,2025-03-13 17:52:10.150,neutral,frown,0.050817,neutral,0.0
1741913530.1819,2025-03-13 17:52:10.181,neutral,frown,0.045204,neutral,0.0
1741913530.2132,2025-03-13 17:52:10.213,neutral,frown,0.045204,neutral,0.0
1741913530.2447,2025-03-13 17:52:10.244,neutral,frown,0.045204,neutral,0.0
1741913530.2765,2025-03-13 17:52:10.276,neutral,frown,0.045204,neutral,0.0
1741913530.3082,2025-03-13 17:52:10.308,neutral,frown,0.031622,neutral,0.0
1741913530.3397,2025-03-13 17:52:10.339,neutral,frown,0.031622,neutral,0.0
1741913530.3714,2025-03-13 17:52:10.371,neutral,frown,0.031622,neutral,0.0
1741913530.403,2025-03-13 17:52:10.403,neutral,frown,0.031622,neutral,0.0
1741913530.4341,2025-03-13 17:52:10.434,neutral,frown,0.031063,neutral,0.0
1741913530.4652,2025-03-13 17:52:10.465,neutral,frown,0.031063,neutral,0.0
1741913530.4967,2025-03-13 17:52:10.496,neutral,frown,0.031063,neutral,0.0
1741913530.5286,2025-03-13 17:52:10.528,neutral,frown,0.031063,neutral,0.0
1741913530.5606,2025-03-13 17:52:10.560,neutral,frown,0.031345,neutral,0.0
1741913530.5923,2025-03-13 17:52:10.592,neutral,frown,0.031345,neutral,0.0
1741913530.6238,2025-03-13 17:52:10.623,neutral,frown,0.031345,neutral,0.0
1741913530.6553,2025-03-13 17:52:10.655,neutral,frown,0.031345,neutral,0.0
1741913530.6868,2025-03-13 17:52:10.686,neutral,frown,0.029284,neutral,0.0
1741913530.7184,2025-03-13 17:52:10.718,neutral,frown,0.029284,neutral,0.0
