1741911834.1035,2025-03-13 17:23:54.103,2,41,1.0,83,4,4,4,2,4
1741911834.5996,2025-03-13 17:23:54.599,2,41,1.0,75,4,4,4,1,4
1741911835.0956,2025-03-13 17:23:55.095,2,41,1.0,75,4,4,4,1,4
1741911835.6162,2025-03-13 17:23:55.616,2,41,1.0,75,4,4,4,1,4
1741911836.1132,2025-03-13 17:23:56.113,2,41,1.0,75,4,4,4,1,4
1741911836.6088,2025-03-13 17:23:56.608,2,41,1.0,100,4,4,4,4,4
1741911837.1287,2025-03-13 17:23:57.128,2,41,1.0,100,4,4,4,4,4
1741911837.6249,2025-03-13 17:23:57.624,2,41,1.0,75,4,4,4,1,4
1741911838.1215,2025-03-13 17:23:58.121,2,41,1.0,67,4,4,4,0,4
1741911838.6412,2025-03-13 17:23:58.641,2,41,1.0,75,4,4,4,1,4
1741911839.1369,2025-03-13 17:23:59.136,2,41,1.0,50,4,2,4,0,4
1741911839.6348,2025-03-13 17:23:59.634,2,41,1.0,75,4,4,4,1,4
1741911840.1547,2025-03-13 17:24:00.154,2,41,1.0,75,4,4,4,1,4
1741911840.652,2025-03-13 17:24:00.652,2,41,1.0,75,4,4,4,1,4
1741911841.1483,2025-03-13 17:24:01.148,2,41,1.0,67,4,4,4,0,4
1741911841.6678,2025-03-13 17:24:01.667,2,41,1.0,100,4,4,4,4,4
1741911842.165,2025-03-13 17:24:02.165,2,41,1.0,67,4,4,4,0,4
1741911842.6609,2025-03-13 17:24:02.660,2,41,1.0,75,4,4,4,1,4
1741911843.1806,2025-03-13 17:24:03.180,2,41,1.0,75,4,4,4,1,4
1741911843.6772,2025-03-13 17:24:03.677,2,41,1.0,75,4,4,4,1,4
1741911844.1738,2025-03-13 17:24:04.173,2,41,1.0,75,4,4,4,1,4
1741911844.6941,2025-03-13 17:24:04.694,2,41,1.0,75,4,4,4,1,4
1741911845.1913,2025-03-13 17:24:05.191,2,41,1.0,75,4,4,4,1,4
1741911845.6869,2025-03-13 17:24:05.686,2,41,1.0,67,4,4,4,0,4
1741911846.2078,2025-03-13 17:24:06.207,2,41,1.0,67,4,4,4,0,4
1741911846.7041,2025-03-13 17:24:06.704,2,41,1.0,75,4,4,4,1,4
